name_monument,city,wheelchair_accesability,wiki_lang,found,match_title,url,method,note,pageid,rarity
Rijksmuseum,Amsterdam,True,en,True,Rijksmuseum,https://en.wikipedia.org/wiki/Rijksmuseum,title,exact,26230.0,Common
Vondelpark,Amsterdam,True,en,True,Vondelpark,https://en.wikipedia.org/wiki/Vondelpark,title,exact,3231819.0,Common
Dam Square,Amsterdam,True,en,True,Dam Square,https://en.wikipedia.org/wiki/Dam_Square,title,exact,638647.0,Common
Madame Tussauds Amsterdam,Amsterdam,True,en,True,Madame Tussauds Amsterdam,https://en.wikipedia.org/wiki/Madame_Tussauds_Amsterdam,title,exact,54151602.0,Common
Moco Museum,Amsterdam,False,en,True,Moco Museum,https://en.wikipedia.org/wiki/Moco_Museum,title,exact,58429667.0,Common
Stedelijk Museum Amsterdam,Amsterdam,True,en,True,Stedelijk Museum Amsterdam,https://en.wikipedia.org/wiki/Stedelijk_Museum_Amsterdam,title,exact,931845.0,Common
Rembrandt House Museum,Amsterdam,True,en,True,Rembrandt House Museum,https://en.wikipedia.org/wiki/Rembrandt_House_Museum,title,exact,1829749.0,Common
National Maritime Museum,Amsterdam,True,en,True,National Maritime Museum,https://en.wikipedia.org/wiki/National_Maritime_Museum,title,exact,333753.0,Common
Ripley's Believe It or Not!,Amsterdam,True,en,True,Ripley's Believe It or Not!,https://en.wikipedia.org/wiki/Ripley%27s_Believe_It_or_Not!,title,exact,468458.0,Common
Skinny Bridge,Amsterdam,True,en,True,Magere Brug,https://en.wikipedia.org/wiki/Magere_Brug,title,exact,5685753.0,Common
Amsterdam Museum,Amsterdam,True,en,True,Amsterdam Museum,https://en.wikipedia.org/wiki/Amsterdam_Museum,title,exact,5087293.0,Common
Micropia,Amsterdam,True,en,True,Micropia,https://en.wikipedia.org/wiki/Micropia,title,exact,18537753.0,Common
Sarphatipark,Amsterdam,True,en,True,Sarphatipark,https://en.wikipedia.org/wiki/Sarphatipark,title,exact,18493018.0,Common
Wereldmuseum Amsterdam,Amsterdam,True,en,True,Wereldmuseum Amsterdam,https://en.wikipedia.org/wiki/Wereldmuseum_Amsterdam,title,exact,7148085.0,Common
Rembrandtpark,Amsterdam,True,en,True,Rembrandtpark,https://en.wikipedia.org/wiki/Rembrandtpark,title,exact,65762246.0,Common
Foam,Amsterdam,False,en,True,Foam,https://en.wikipedia.org/wiki/Foam,title,exact,268420.0,Common
Beatrixpark,Amsterdam,True,en,True,Beatrixpark,https://en.wikipedia.org/wiki/Beatrixpark,title,exact,77713333.0,Rare
Amsterdam Tulip Museum,Amsterdam,False,en,True,Amsterdam Tulip Museum,https://en.wikipedia.org/wiki/Amsterdam_Tulip_Museum,title,exact,72301514.0,Rare
Museum Van Loon,Amsterdam,False,en,True,Museum Van Loon,https://en.wikipedia.org/wiki/Museum_Van_Loon,title,exact,20037766.0,Rare
Homomonument,Amsterdam,True,en,True,Homomonument,https://en.wikipedia.org/wiki/Homomonument,title,exact,638169.0,Rare
"Huis Marseille, Museum for Photography",Amsterdam,False,en,True,"Huis Marseille, Museum for Photography","https://en.wikipedia.org/wiki/Huis_Marseille,_Museum_for_Photography",title,exact,44889771.0,Rare
Kuğulu Park,Ankara,True,en,True,Kuğulu Park,https://en.wikipedia.org/wiki/Ku%C4%9Fulu_Park,title,exact,39589877.0,Common
Museum of Anatolian Civilizations,Ankara,True,en,True,Museum of Anatolian Civilizations,https://en.wikipedia.org/wiki/Museum_of_Anatolian_Civilizations,title,exact,4344879.0,Common
METU Science and Technology Museum,Ankara,True,en,True,METU Science and Technology Museum,https://en.wikipedia.org/wiki/METU_Science_and_Technology_Museum,title,exact,32018007.0,Rare
